id;imagePath;p1;p2;p3;p4;isCopy
000325.jpg240686;../dlc-2021/cg/clips/images/esp_id/05.cg0002/000325.jpg;594.000000,1872.000000;1533.000000,1861.000000;1545.000000,2450.000000;590.000000,2466.000000;1
000225.jpg139098;../dlc-2021/cg/clips/images/esp_id/04.cg0003/000225.jpg;75.000000,1305.000000;1594.000000,1101.000000;1764.000000,2000.000000;241.000000,2302.000000;1
000125.jpg164858;../dlc-2021/cg/clips/images/esp_id/04.cg0007/000125.jpg;1419.000000,1516.000000;1425.000000,2792.000000;616.000000,2790.000000;646.000000,1507.000000;1
000225.jpg274883;../dlc-2021/cg/clips/images/esp_id/02.cg0001/000225.jpg;263.000000,1171.000000;1686.000000,1088.000000;1701.000000,1969.000000;326.000000,2037.000000;1
000225.jpg245046;../dlc-2021/cg/clips/images/esp_id/05.cg0003/000225.jpg;608.000000,1549.000000;1847.000000,1527.000000;1854.000000,2297.000000;615.000000,2312.000000;1
000125.jpg86811;../dlc-2021/cg/clips/images/esp_id/03.cg0002/000125.jpg;207.000000,942.000000;932.000000,925.000000;978.000000,1384.000000;200.000000,1417.000000;1
000210.jpg203132;../dlc-2021/cg/clips/images/esp_id/05.cg0004/000210.jpg;462.000000,1473.000000;1564.000000,1414.000000;1593.000000,2094.000000;503.000000,2157.000000;1
000225.jpg43542;../dlc-2021/cg/clips/images/esp_id/00.cg0002/000225.jpg;77.000000,659.000000;827.000000,734.000000;793.000000,1180.000000;39.000000,1147.000000;1
000225.jpg73105;../dlc-2021/cg/clips/images/esp_id/06.cg0002/000225.jpg;90.000000,568.000000;879.000000,567.000000;878.000000,1057.000000;73.000000,1053.000000;1
000225.jpg177673;../dlc-2021/cg/clips/images/esp_id/04.cg0006/000225.jpg;223.000000,1310.000000;1829.000000,1288.000000;1850.000000,2284.000000;231.000000,2308.000000;1
000076.jpg69124;../dlc-2021/cg/clips/images/esp_id/03.cg0001/000076.jpg;136.000000,970.000000;850.000000,908.000000;923.000000,1357.000000;162.000000,1440.000000;1
000225.jpg297298;../dlc-2021/cg/clips/images/esp_id/04.cg0004/000225.jpg;431.000000,1795.000000;1922.000000,1793.000000;1886.000000,2689.000000;440.000000,2696.000000;1
000210.jpg137842;../dlc-2021/cg/clips/images/esp_id/01.cg0002/000210.jpg;862.000000,1930.000000;1881.000000,1907.000000;1893.000000,2548.000000;873.000000,2549.000000;1
000225.jpg259663;../dlc-2021/cg/clips/images/esp_id/04.cg0002/000225.jpg;570.000000,2369.000000;697.000000,1298.000000;1338.000000,1311.000000;1219.000000,2464.000000;1
000325.jpg291524;../dlc-2021/cg/clips/images/esp_id/02.cg0002/000325.jpg;375.000000,1306.000000;1878.000000,1246.000000;1893.000000,2157.000000;433.000000,2246.000000;1
000325.jpg108208;../dlc-2021/cg/clips/images/esp_id/02.cg0004/000325.jpg;89.000000,1317.000000;1695.000000,1329.000000;1665.000000,2298.000000;100.000000,2305.000000;1
000225.jpg398826;../dlc-2021/cg/clips/images/esp_id/07.cg0001/000225.jpg;322.000000,1467.000000;1673.000000,1466.000000;1686.000000,2300.000000;315.000000,2321.000000;1
000225.jpg235159;../dlc-2021/cg/clips/images/esp_id/05.cg0001/000225.jpg;319.000000,1819.000000;1329.000000,1815.000000;1333.000000,2447.000000;305.000000,2460.000000;1
000493.jpg353591;../dlc-2021/cg/clips/images/esp_id/07.cg0002/000493.jpg;284.000000,1411.000000;1622.000000,1424.000000;1616.000000,2271.000000;262.000000,2238.000000;1
000076.jpg61948;../dlc-2021/cg/clips/images/esp_id/06.cg0001/000076.jpg;163.000000,586.000000;884.000000,574.000000;890.000000,1026.000000;145.000000,1025.000000;1
000125.jpg157562;../dlc-2021/cg/clips/images/esp_id/04.cg0001/000125.jpg;475.000000,1133.000000;1828.000000,1154.000000;1883.000000,1913.000000;351.000000,1875.000000;1
000049.jpg137756;../dlc-2021/cg/clips/images/esp_id/04.cg0005/000049.jpg;269.000000,1689.000000;1577.000000,1739.000000;1538.000000,2469.000000;335.000000,2398.000000;1
000076.jpg36138;../dlc-2021/cg/clips/images/esp_id/00.cg0001/000076.jpg;93.000000,266.000000;883.000000,237.000000;901.000000,729.000000;94.000000,752.000000;1
000225.jpg38104;../dlc-2021/cg/clips/images/lva_passport/01.cg0001/000225.jpg;191.000000,678.000000;940.000000,682.000000;944.000000,1211.000000;180.000000,1204.000000;1
000325.jpg453825;../dlc-2021/cg/clips/images/lva_passport/05.cg0002/000325.jpg;576.000000,1591.000000;1718.000000,1643.000000;1682.000000,2450.000000;546.000000,2390.000000;1
000076.jpg174170;../dlc-2021/cg/clips/images/lva_passport/04.cg0003/000076.jpg;368.000000,1315.000000;1671.000000,1272.000000;1668.000000,2153.000000;398.000000,2199.000000;1
000076.jpg204819;../dlc-2021/cg/clips/images/lva_passport/04.cg0007/000076.jpg;1288.000000,1492.000000;1426.000000,2742.000000;579.000000,2977.000000;406.000000,1558.000000;1
000076.jpg247295;../dlc-2021/cg/clips/images/lva_passport/02.cg0001/000076.jpg;351.000000,1476.000000;1818.000000,1508.000000;1807.000000,2540.000000;329.000000,2494.000000;1
000225.jpg323346;../dlc-2021/cg/clips/images/lva_passport/05.cg0003/000225.jpg;27.000000,1254.000000;1715.000000,1193.000000;1737.000000,2353.000000;104.000000,2427.000000;1
000225.jpg199724;../dlc-2021/cg/clips/images/lva_passport/03.cg0002/000225.jpg;180.000000,1273.000000;1873.000000,1282.000000;1833.000000,2398.000000;220.000000,2459.000000;1
000325.jpg347028;../dlc-2021/cg/clips/images/lva_passport/05.cg0004/000325.jpg;305.000000,1322.000000;1716.000000,1336.000000;1701.000000,2301.000000;337.000000,2323.000000;1
000225.jpg45734;../dlc-2021/cg/clips/images/lva_passport/00.cg0002/000225.jpg;133.000000,699.000000;892.000000,680.000000;925.000000,1210.000000;129.000000,1234.000000;1
000225.jpg129632;../dlc-2021/cg/clips/images/lva_passport/06.cg0002/000225.jpg;42.000000,294.000000;1018.000000,288.000000;1049.000000,965.000000;17.000000,970.000000;1
000076.jpg180182;../dlc-2021/cg/clips/images/lva_passport/04.cg0006/000076.jpg;392.000000,1363.000000;1937.000000,1466.000000;1817.000000,2474.000000;355.000000,2545.000000;1
000076.jpg223391;../dlc-2021/cg/clips/images/lva_passport/03.cg0001/000076.jpg;256.000000,1261.000000;1769.000000,1243.000000;1789.000000,2300.000000;278.000000,2331.000000;1
000225.jpg210455;../dlc-2021/cg/clips/images/lva_passport/04.cg0004/000225.jpg;227.000000,1230.000000;1999.000000,1247.000000;1991.000000,2489.000000;215.000000,2478.000000;1
000125.jpg147160;../dlc-2021/cg/clips/images/lva_passport/07.cg0003/000125.jpg;245.000000,1401.000000;1894.000000,1439.000000;1904.000000,2608.000000;213.000000,2575.000000;1
000125.jpg56540;../dlc-2021/cg/clips/images/lva_passport/01.cg0002/000125.jpg;71.000000,415.000000;987.000000,432.000000;990.000000,1077.000000;39.000000,1054.000000;1
000225.jpg106447;../dlc-2021/cg/clips/images/lva_passport/04.cg0002/000225.jpg;80.000000,793.000000;978.000000,762.000000;1046.000000,1398.000000;78.000000,1463.000000;1
000325.jpg272117;../dlc-2021/cg/clips/images/lva_passport/02.cg0002/000325.jpg;433.000000,1589.000000;1941.000000,1563.000000;1958.000000,2630.000000;451.000000,2634.000000;1
000125.jpg294740;../dlc-2021/cg/clips/images/lva_passport/07.cg0001/000125.jpg;169.000000,975.000000;1984.000000,1066.000000;1953.000000,2343.000000;115.000000,2260.000000;1
000125.jpg399356;../dlc-2021/cg/clips/images/lva_passport/05.cg0001/000125.jpg;433.000000,1465.000000;1794.000000,1561.000000;1722.000000,2538.000000;351.000000,2417.000000;1
000225.jpg253832;../dlc-2021/cg/clips/images/lva_passport/07.cg0004/000225.jpg;220.000000,761.000000;1993.000000,851.000000;1974.000000,2093.000000;169.000000,2025.000000;1
000325.jpg342531;../dlc-2021/cg/clips/images/lva_passport/07.cg0002/000325.jpg;279.000000,1112.000000;2115.000000,1176.000000;2135.000000,2497.000000;161.000000,2412.000000;1
000225.jpg113826;../dlc-2021/cg/clips/images/lva_passport/06.cg0001/000225.jpg;69.000000,253.000000;1032.000000,245.000000;1050.000000,921.000000;42.000000,913.000000;1
000225.jpg126191;../dlc-2021/cg/clips/images/lva_passport/04.cg0001/000225.jpg;64.000000,677.000000;943.000000,665.000000;980.000000,1284.000000;56.000000,1307.000000;1
000225.jpg204894;../dlc-2021/cg/clips/images/lva_passport/04.cg0005/000225.jpg;1582.000000,1278.000000;1566.000000,2579.000000;650.000000,2553.000000;682.000000,1265.000000;1
000076.jpg37151;../dlc-2021/cg/clips/images/lva_passport/00.cg0001/000076.jpg;172.000000,712.000000;890.000000,701.000000;907.000000,1191.000000;172.000000,1206.000000;1
000076.jpg184583;../dlc-2021/cg/clips/images/srb_passport/01.cg0001/000076.jpg;401.000000,1241.000000;1613.000000,1272.000000;1592.000000,2074.000000;405.000000,2077.000000;1
000225.jpg113677;../dlc-2021/cg/clips/images/srb_passport/02.cg0003/000225.jpg;257.000000,1484.000000;1911.000000,1461.000000;1954.000000,2631.000000;217.000000,2622.000000;1
000325.jpg486180;../dlc-2021/cg/clips/images/srb_passport/05.cg0002/000325.jpg;156.000000,1618.000000;1864.000000,1344.000000;2007.000000,2512.000000;352.000000,2758.000000;1
000225.jpg182200;../dlc-2021/cg/clips/images/srb_passport/04.cg0003/000225.jpg;165.000000,1254.000000;1898.000000,1196.000000;1877.000000,2305.000000;274.000000,2393.000000;1
000125.jpg278372;../dlc-2021/cg/clips/images/srb_passport/04.cg0007/000125.jpg;431.000000,2568.000000;742.000000,1225.000000;1693.000000,1420.000000;1346.000000,2856.000000;1
000225.jpg232473;../dlc-2021/cg/clips/images/srb_passport/02.cg0001/000225.jpg;80.000000,1492.000000;1726.000000,1392.000000;1798.000000,2542.000000;134.000000,2612.000000;1
000225.jpg194529;../dlc-2021/cg/clips/images/srb_passport/01.cg0004/000225.jpg;140.000000,1057.000000;1748.000000,983.000000;1802.000000,2069.000000;201.000000,2174.000000;1
000225.jpg78370;../dlc-2021/cg/clips/images/srb_passport/03.cg0002/000225.jpg;49.000000,496.000000;1000.000000,476.000000;1012.000000,1130.000000;55.000000,1144.000000;1
000125.jpg72125;../dlc-2021/cg/clips/images/srb_passport/00.cg0002/000125.jpg;72.000000,751.000000;968.000000,760.000000;983.000000,1381.000000;46.000000,1380.000000;1
000225.jpg418810;../dlc-2021/cg/clips/images/srb_passport/06.cg0002/000225.jpg;182.000000,1336.000000;1962.000000,1300.000000;2029.000000,2533.000000;177.000000,2584.000000;1
000225.jpg283165;../dlc-2021/cg/clips/images/srb_passport/04.cg0006/000225.jpg;252.000000,1294.000000;1922.000000,1276.000000;1857.000000,2595.000000;151.000000,2409.000000;1
000401.jpg191227;../dlc-2021/cg/clips/images/srb_passport/01.cg0003/000401.jpg;218.000000,1399.000000;1426.000000,1441.000000;1403.000000,2227.000000;217.000000,2225.000000;1
000325.jpg54849;../dlc-2021/cg/clips/images/srb_passport/03.cg0001/000325.jpg;127.000000,607.000000;972.000000,594.000000;979.000000,1177.000000;132.000000,1181.000000;1
000125.jpg347949;../dlc-2021/cg/clips/images/srb_passport/04.cg0004/000125.jpg;182.000000,1279.000000;2000.000000,1275.000000;2026.000000,2563.000000;156.000000,2532.000000;1
000325.jpg180505;../dlc-2021/cg/clips/images/srb_passport/01.cg0002/000325.jpg;119.000000,1341.000000;1696.000000,1311.000000;1709.000000,2336.000000;178.000000,2429.000000;1
000125.jpg133449;../dlc-2021/cg/clips/images/srb_passport/04.cg0002/000125.jpg;56.000000,770.000000;1016.000000,759.000000;1065.000000,1419.000000;49.000000,1476.000000;1
000325.jpg318155;../dlc-2021/cg/clips/images/srb_passport/02.cg0002/000325.jpg;247.000000,1257.000000;2041.000000,1232.000000;2073.000000,2477.000000;225.000000,2482.000000;1
000225.jpg105142;../dlc-2021/cg/clips/images/srb_passport/02.cg0004/000225.jpg;140.000000,1297.000000;1978.000000,1216.000000;2084.000000,2476.000000;178.000000,2570.000000;1
000225.jpg76005;../dlc-2021/cg/clips/images/srb_passport/07.cg0001/000225.jpg;65.000000,333.000000;1049.000000,327.000000;1040.000000,1009.000000;65.000000,1001.000000;1
000225.jpg495644;../dlc-2021/cg/clips/images/srb_passport/05.cg0001/000225.jpg;212.000000,1348.000000;1885.000000,1252.000000;1927.000000,2425.000000;248.000000,2485.000000;1
000225.jpg86478;../dlc-2021/cg/clips/images/srb_passport/07.cg0002/000225.jpg;48.000000,215.000000;1046.000000,215.000000;1045.000000,903.000000;32.000000,895.000000;1
000225.jpg357758;../dlc-2021/cg/clips/images/srb_passport/06.cg0001/000225.jpg;167.000000,1265.000000;2057.000000,1272.000000;2021.000000,2546.000000;202.000000,2519.000000;1
000076.jpg105668;../dlc-2021/cg/clips/images/srb_passport/04.cg0001/000076.jpg;100.000000,762.000000;983.000000,775.000000;1021.000000,1400.000000;67.000000,1400.000000;1
000125.jpg210485;../dlc-2021/cg/clips/images/srb_passport/04.cg0005/000125.jpg;1545.000000,1343.000000;1440.000000,2871.000000;376.000000,2800.000000;492.000000,1270.000000;1
000049.jpg46731;../dlc-2021/cg/clips/images/srb_passport/00.cg0001/000049.jpg;98.000000,697.000000;892.000000,709.000000;913.000000,1246.000000;85.000000,1263.000000;1
000225.jpg218148;../dlc-2021/cg/clips/images/grc_passport/01.cg0001/000225.jpg;73.000000,1248.000000;1935.000000,1126.000000;2010.000000,2451.000000;147.000000,2548.000000;1
000325.jpg241506;../dlc-2021/cg/clips/images/grc_passport/05.cg0002/000325.jpg;300.000000,1171.000000;2121.000000,1181.000000;2132.000000,2486.000000;273.000000,2470.000000;1
000225.jpg149757;../dlc-2021/cg/clips/images/grc_passport/04.cg0003/000225.jpg;51.000000,1092.000000;1891.000000,1045.000000;1922.000000,2207.000000;206.000000,2351.000000;1
000225.jpg201406;../dlc-2021/cg/clips/images/grc_passport/04.cg0007/000225.jpg;503.000000,2505.000000;743.000000,929.000000;1791.000000,1130.000000;1690.000000,2641.000000;1
000225.jpg141451;../dlc-2021/cg/clips/images/grc_passport/02.cg0001/000225.jpg;460.000000,1588.000000;1902.000000,1607.000000;1901.000000,2629.000000;448.000000,2601.000000;1
000225.jpg127890;../dlc-2021/cg/clips/images/grc_passport/05.cg0003/000225.jpg;168.000000,1200.000000;1988.000000,1182.000000;1982.000000,2454.000000;208.000000,2467.000000;1
000225.jpg53311;../dlc-2021/cg/clips/images/grc_passport/03.cg0002/000225.jpg;74.000000,412.000000;1016.000000,416.000000;1036.000000,1080.000000;58.000000,1080.000000;1
000401.jpg138805;../dlc-2021/cg/clips/images/grc_passport/05.cg0004/000401.jpg;354.000000,1304.000000;2153.000000,1190.000000;2205.000000,2491.000000;414.000000,2540.000000;1
000325.jpg152513;../dlc-2021/cg/clips/images/grc_passport/00.cg0002/000325.jpg;498.000000,1581.000000;1590.000000,1618.000000;1597.000000,2376.000000;472.000000,2385.000000;1
000225.jpg72252;../dlc-2021/cg/clips/images/grc_passport/06.cg0002/000225.jpg;69.000000,574.000000;975.000000,557.000000;1003.000000,1213.000000;50.000000,1219.000000;1
000125.jpg225157;../dlc-2021/cg/clips/images/grc_passport/04.cg0006/000125.jpg;225.000000,1343.000000;1799.000000,1327.000000;1728.000000,2650.000000;172.000000,2435.000000;1
000225.jpg137565;../dlc-2021/cg/clips/images/grc_passport/00.cg0003/000225.jpg;147.000000,1298.000000;1567.000000,1301.000000;1601.000000,2246.000000;200.000000,2371.000000;1
000076.jpg44141;../dlc-2021/cg/clips/images/grc_passport/03.cg0001/000076.jpg;125.000000,596.000000;962.000000,548.000000;983.000000,1180.000000;105.000000,1173.000000;1
000225.jpg251793;../dlc-2021/cg/clips/images/grc_passport/04.cg0004/000225.jpg;210.000000,1188.000000;1988.000000,1215.000000;1986.000000,2485.000000;160.000000,2449.000000;1
000325.jpg124955;../dlc-2021/cg/clips/images/grc_passport/00.cg0004/000325.jpg;186.000000,1588.000000;1670.000000,1529.000000;1741.000000,2547.000000;237.000000,2669.000000;1
000325.jpg188812;../dlc-2021/cg/clips/images/grc_passport/01.cg0002/000325.jpg;234.000000,1831.000000;1989.000000,1807.000000;2004.000000,3049.000000;251.000000,3053.000000;1
000225.jpg149018;../dlc-2021/cg/clips/images/grc_passport/04.cg0002/000225.jpg;85.000000,688.000000;979.000000,666.000000;1039.000000,1298.000000;87.000000,1341.000000;1
000225.jpg162381;../dlc-2021/cg/clips/images/grc_passport/02.cg0002/000225.jpg;225.000000,1326.000000;1966.000000,1240.000000;2069.000000,2499.000000;221.000000,2555.000000;1
000225.jpg120190;../dlc-2021/cg/clips/images/grc_passport/07.cg0001/000225.jpg;41.000000,310.000000;1013.000000,293.000000;1013.000000,985.000000;50.000000,983.000000;1
000225.jpg224412;../dlc-2021/cg/clips/images/grc_passport/05.cg0001/000225.jpg;121.000000,1355.000000;1884.000000,1308.000000;1938.000000,2567.000000;143.000000,2619.000000;1
000225.jpg122564;../dlc-2021/cg/clips/images/grc_passport/07.cg0002/000225.jpg;55.000000,251.000000;1025.000000,228.000000;1041.000000,917.000000;51.000000,924.000000;1
000225.jpg65987;../dlc-2021/cg/clips/images/grc_passport/06.cg0001/000225.jpg;85.000000,660.000000;962.000000,635.000000;1009.000000,1261.000000;89.000000,1301.000000;1
000325.jpg108738;../dlc-2021/cg/clips/images/grc_passport/04.cg0001/000325.jpg;81.000000,857.000000;921.000000,855.000000;965.000000,1454.000000;65.000000,1495.000000;1
000125.jpg220799;../dlc-2021/cg/clips/images/grc_passport/04.cg0005/000125.jpg;1510.000000,1305.000000;1504.000000,2866.000000;382.000000,2838.000000;444.000000,1302.000000;1
000225.jpg152628;../dlc-2021/cg/clips/images/grc_passport/00.cg0001/000225.jpg;325.000000,1677.000000;1764.000000,1649.000000;1814.000000,2680.000000;310.000000,2718.000000;1
000225.jpg222950;../dlc-2021/lowcolor/clips/images/fin_id/05.or0002/000225.jpg;501.000000,1551.000000;1724.000000,1589.000000;1686.000000,2362.000000;479.000000,2305.000000;0
000210.jpg173681;../dlc-2021/lowcolor/clips/images/fin_id/05.or0004/000210.jpg;259.000000,1640.000000;1838.000000,1623.000000;1807.000000,2557.000000;293.000000,2646.000000;0
000076.jpg206674;../dlc-2021/lowcolor/clips/images/fin_id/04.or0003/000076.jpg;437.000000,1498.000000;1772.000000,1533.000000;1721.000000,2350.000000;432.000000,2315.000000;0
000225.jpg51903;../dlc-2021/lowcolor/clips/images/fin_id/06.or0001/000225.jpg;74.000000,580.000000;960.000000,573.000000;976.000000,1141.000000;56.000000,1137.000000;0
000325.jpg140270;../dlc-2021/lowcolor/clips/images/fin_id/07.or0004/000325.jpg;552.000000,1909.000000;1819.000000,1880.000000;1844.000000,2692.000000;554.000000,2728.000000;0
000225.jpg129960;../dlc-2021/lowcolor/clips/images/fin_id/04.or0005/000225.jpg;197.000000,1468.000000;1754.000000,1466.000000;1736.000000,2409.000000;231.000000,2430.000000;0
000225.jpg109332;../dlc-2021/lowcolor/clips/images/fin_id/01.or0001/000225.jpg;91.000000,293.000000;913.000000,305.000000;916.000000,814.000000;98.000000,823.000000;0
000225.jpg37262;../dlc-2021/lowcolor/clips/images/fin_id/00.or0001/000225.jpg;266.000000,531.000000;799.000000,533.000000;790.000000,873.000000;262.000000,865.000000;0
000401.jpg159416;../dlc-2021/lowcolor/clips/images/fin_id/04.or0004/000401.jpg;400.000000,1496.000000;1895.000000,1512.000000;1866.000000,2459.000000;384.000000,2408.000000;0
000076.jpg158603;../dlc-2021/lowcolor/clips/images/fin_id/01.or0003/000076.jpg;66.000000,1306.000000;1981.000000,1415.000000;1842.000000,2550.000000;84.000000,2417.000000;0
000076.jpg418491;../dlc-2021/lowcolor/clips/images/fin_id/04.or0001/000076.jpg;383.000000,1449.000000;1659.000000,1555.000000;1584.000000,2325.000000;340.000000,2248.000000;0
000076.jpg394153;../dlc-2021/lowcolor/clips/images/fin_id/05.or0003/000076.jpg;85.000000,1206.000000;2068.000000,1233.000000;1946.000000,2373.000000;155.000000,2355.000000;0
000076.jpg54298;../dlc-2021/lowcolor/clips/images/fin_id/06.or0002/000076.jpg;124.000000,680.000000;944.000000,700.000000;941.000000,1221.000000;93.000000,1195.000000;0
000225.jpg425218;../dlc-2021/lowcolor/clips/images/fin_id/04.or0002/000225.jpg;544.000000,1383.000000;1874.000000,1404.000000;1844.000000,2268.000000;488.000000,2204.000000;0
000225.jpg75345;../dlc-2021/lowcolor/clips/images/fin_id/03.or0001/000225.jpg;72.000000,727.000000;907.000000,707.000000;918.000000,1225.000000;85.000000,1259.000000;0
000325.jpg283918;../dlc-2021/lowcolor/clips/images/fin_id/01.or0004/000325.jpg;85.000000,1582.000000;1735.000000,1588.000000;1672.000000,2496.000000;191.000000,2482.000000;0
000076.jpg120629;../dlc-2021/lowcolor/clips/images/fin_id/02.or0001/000076.jpg;145.000000,1356.000000;2118.000000,1445.000000;1958.000000,2534.000000;208.000000,2444.000000;0
000125.jpg147316;../dlc-2021/lowcolor/clips/images/fin_id/04.or0008/000125.jpg;376.000000,1475.000000;1649.000000,1637.000000;1662.000000,2437.000000;309.000000,2404.000000;0
000076.jpg39647;../dlc-2021/lowcolor/clips/images/fin_id/00.or0002/000076.jpg;109.000000,525.000000;937.000000,545.000000;929.000000,1059.000000;97.000000,1048.000000;0
000225.jpg115268;../dlc-2021/lowcolor/clips/images/fin_id/01.or0002/000225.jpg;213.000000,897.000000;957.000000,852.000000;958.000000,1293.000000;245.000000,1354.000000;0
000325.jpg142992;../dlc-2021/lowcolor/clips/images/fin_id/07.or0002/000325.jpg;772.000000,1992.000000;1974.000000,1933.000000;2028.000000,2719.000000;791.000000,2765.000000;0
000076.jpg93583;../dlc-2021/lowcolor/clips/images/fin_id/03.or0002/000076.jpg;215.000000,754.000000;933.000000,770.000000;935.000000,1222.000000;202.000000,1219.000000;0
000225.jpg135447;../dlc-2021/lowcolor/clips/images/fin_id/07.or0003/000225.jpg;252.000000,1926.000000;1540.000000,1902.000000;1615.000000,2723.000000;244.000000,2802.000000;0
000225.jpg242997;../dlc-2021/lowcolor/clips/images/fin_id/05.or0001/000225.jpg;285.000000,990.000000;1613.000000,919.000000;1643.000000,1754.000000;329.000000,1822.000000;0
000125.jpg141329;../dlc-2021/lowcolor/clips/images/fin_id/04.or0007/000125.jpg;1522.000000,1431.000000;1496.000000,2738.000000;654.000000,2707.000000;722.000000,1397.000000;0
000225.jpg149448;../dlc-2021/lowcolor/clips/images/fin_id/04.or0009/000225.jpg;732.000000,2413.000000;859.000000,1418.000000;1500.000000,1429.000000;1475.000000,2460.000000;0
000076.jpg334415;../dlc-2021/lowcolor/clips/images/fin_id/02.or0002/000076.jpg;289.000000,1307.000000;1663.000000,1281.000000;1719.000000,2121.000000;295.000000,2187.000000;0
000225.jpg132636;../dlc-2021/lowcolor/clips/images/fin_id/04.or0006/000225.jpg;440.000000,1218.000000;1872.000000,1250.000000;1858.000000,2154.000000;407.000000,2114.000000;0
000225.jpg154312;../dlc-2021/lowcolor/clips/images/fin_id/07.or0001/000225.jpg;586.000000,2074.000000;1750.000000,2014.000000;1797.000000,2790.000000;606.000000,2815.000000;0
000225.jpg123583;../dlc-2021/lowcolor/clips/images/rus_internalpassport/05.or0002/000225.jpg;204.000000,1237.000000;1962.000000,1296.000000;1944.000000,2487.000000;193.000000,2520.000000;0
000493.jpg148136;../dlc-2021/lowcolor/clips/images/rus_internalpassport/05.or0004/000493.jpg;216.000000,1856.000000;1965.000000,1924.000000;1855.000000,3025.000000;241.000000,2972.000000;0
000225.jpg144545;../dlc-2021/lowcolor/clips/images/rus_internalpassport/04.or0003/000225.jpg;212.000000,1088.000000;1903.000000,965.000000;1952.000000,2101.000000;381.000000,2246.000000;0
000076.jpg144264;../dlc-2021/lowcolor/clips/images/rus_internalpassport/06.or0001/000076.jpg;221.000000,1322.000000;1821.000000,1362.000000;1813.000000,2512.000000;147.000000,2441.000000;0
000225.jpg127418;../dlc-2021/lowcolor/clips/images/rus_internalpassport/02.or0003/000225.jpg;387.000000,1234.000000;1871.000000,1276.000000;1833.000000,2331.000000;346.000000,2262.000000;0
000225.jpg159630;../dlc-2021/lowcolor/clips/images/rus_internalpassport/04.or0005/000225.jpg;1620.000000,1581.000000;1680.000000,3024.000000;631.000000,3037.000000;656.000000,1592.000000;0
000225.jpg52236;../dlc-2021/lowcolor/clips/images/rus_internalpassport/01.or0001/000225.jpg;57.000000,363.000000;965.000000,359.000000;991.000000,989.000000;40.000000,1000.000000;0
000076.jpg88414;../dlc-2021/lowcolor/clips/images/rus_internalpassport/00.or0001/000076.jpg;115.000000,728.000000;963.000000,680.000000;1025.000000,1289.000000;131.000000,1345.000000;0
000325.jpg128804;../dlc-2021/lowcolor/clips/images/rus_internalpassport/04.or0004/000325.jpg;206.000000,1093.000000;2055.000000,1113.000000;2077.000000,2440.000000;141.000000,2405.000000;0
000076.jpg349257;../dlc-2021/lowcolor/clips/images/rus_internalpassport/01.or0003/000076.jpg;199.000000,1395.000000;1890.000000,1395.000000;1844.000000,2530.000000;266.000000,2496.000000;0
000225.jpg50683;../dlc-2021/lowcolor/clips/images/rus_internalpassport/04.or0001/000225.jpg;72.000000,550.000000;952.000000,495.000000;989.000000,1133.000000;87.000000,1165.000000;0
000076.jpg117470;../dlc-2021/lowcolor/clips/images/rus_internalpassport/05.or0003/000076.jpg;277.000000,1853.000000;1965.000000,1841.000000;1963.000000,2999.000000;295.000000,3047.000000;0
000325.jpg131153;../dlc-2021/lowcolor/clips/images/rus_internalpassport/06.or0002/000325.jpg;294.000000,1149.000000;2067.000000,1158.000000;2076.000000,2422.000000;241.000000,2382.000000;0
000225.jpg40014;../dlc-2021/lowcolor/clips/images/rus_internalpassport/04.or0002/000225.jpg;61.000000,477.000000;988.000000,487.000000;1004.000000,1131.000000;64.000000,1146.000000;0
000225.jpg49182;../dlc-2021/lowcolor/clips/images/rus_internalpassport/03.or0001/000225.jpg;94.000000,606.000000;990.000000,584.000000;1012.000000,1247.000000;64.000000,1233.000000;0
000325.jpg97204;../dlc-2021/lowcolor/clips/images/rus_internalpassport/06.or0004/000325.jpg;162.000000,1198.000000;2016.000000,1226.000000;1996.000000,2514.000000;145.000000,2485.000000;0
000401.jpg443900;../dlc-2021/lowcolor/clips/images/rus_internalpassport/01.or0004/000401.jpg;54.000000,1291.000000;1784.000000,1273.000000;1753.000000,2454.000000;135.000000,2420.000000;0
000076.jpg131827;../dlc-2021/lowcolor/clips/images/rus_internalpassport/02.or0001/000076.jpg;263.000000,1560.000000;1748.000000,1527.000000;1800.000000,2580.000000;264.000000,2617.000000;0
000076.jpg122548;../dlc-2021/lowcolor/clips/images/rus_internalpassport/00.or0002/000076.jpg;76.000000,764.000000;1011.000000,813.000000;1024.000000,1468.000000;40.000000,1474.000000;0
000225.jpg57258;../dlc-2021/lowcolor/clips/images/rus_internalpassport/01.or0002/000225.jpg;79.000000,377.000000;1001.000000,378.000000;1031.000000,1007.000000;84.000000,1030.000000;0
000325.jpg177409;../dlc-2021/lowcolor/clips/images/rus_internalpassport/07.or0002/000325.jpg;310.000000,1564.000000;2064.000000,1562.000000;2058.000000,2780.000000;319.000000,2776.000000;0
000225.jpg54931;../dlc-2021/lowcolor/clips/images/rus_internalpassport/03.or0002/000225.jpg;78.000000,560.000000;995.000000,546.000000;1019.000000,1200.000000;68.000000,1205.000000;0
000076.jpg214401;../dlc-2021/lowcolor/clips/images/rus_internalpassport/05.or0001/000076.jpg;355.000000,1340.000000;1998.000000,1384.000000;2032.000000,2553.000000;257.000000,2510.000000;0
